IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_TAGS;IP_PROP17;IP_PROP18;IP_PROP19;IP_PROP16;IC_GROUP0;IC_GROUP1;IC_GROUP2
356;Луганск;550375;Y;;;;;text;;;text;;;Восточная Украина;48.5667;39.3000;Луганская область;;;
357;Первомайск;550376;Y;;;;;text;;;text;;;Восточная Украина;48.6297;38.5619;Луганская область;;;
358;Ровеньки;550377;Y;;;;;text;;;text;;;Восточная Украина;48.0833;39.3667;Луганская область;;;
359;Рубежное;550378;Y;;;;;text;;;text;;;Восточная Украина;49.0109;38.3741;Луганская область;;;
360;Свердловск;550379;Y;;;;;text;;;text;;;Восточная Украина;48.0845;39.6516;Луганская область;;;
361;Северодонецк;550380;Y;;;;;text;;;text;;;Восточная Украина;48.9333;38.5000;Луганская область;;;
362;Стаханов;550381;Y;;;;;text;;;text;;;Восточная Украина;48.5667;38.6500;Луганская область;;;
369;Новодружеск;550382;Y;;;;;text;;;text;;;Восточная Украина;48.9667;38.3500;Луганская область;;;
370;Днепропетровск;550383;Y;;;;;text;;;text;;;Восточная Украина;48.4500;34.9833;Днепропетровская область;;;
371;Кривой Рог;550384;Y;;;;;text;;;text;;;Восточная Украина;48.0203;33.4537;Днепропетровская область;;;
372;Днепродзержинск;550385;Y;;;;;text;;;text;;;Восточная Украина;48.5167;34.6167;Днепропетровская область;;;
373;Никополь;550386;Y;;;;;text;;;text;;;Восточная Украина;47.5667;34.4000;Днепропетровская область;;;
374;Павлоград;550387;Y;;;;;text;;;text;;;Восточная Украина;48.5216;35.8934;Днепропетровская область;;;
375;Новомосковск;550388;Y;;;;;text;;;text;;;Восточная Украина;48.6333;35.2167;Днепропетровская область;;;
376;Жёлтые Воды;550389;Y;;;;;text;;;text;;;Восточная Украина;48.3500;33.5000;Днепропетровская область;;;
377;Марганец;550390;Y;;;;;text;;;text;;;Восточная Украина;47.6631;34.6172;Днепропетровская область;;;
378;Орджоникидзе;550391;Y;;;;;text;;;text;;;Восточная Украина;47.6569;34.0542;Днепропетровская область;;;
380;Терновка;550392;Y;;;;;text;;;text;;;Восточная Украина;48.5178;36.0787;Днепропетровская область;;;
382;Вольногорск;550393;Y;;;;;text;;;text;;;Восточная Украина;48.4833;34.0167;Днепропетровская область;;;
386;Авдеевка;550394;Y;;;;;text;;;text;;;Восточная Украина;48.1425;37.7485;Донецкая область;;;
387;Артёмовск;550395;Y;;;;;text;;;text;;;Восточная Украина;48.6069;37.9970;Донецкая область;;;
388;Горловка;550396;Y;;;;;text;;;text;;;Восточная Украина;48.3280;38.0460;Донецкая область;;;
389;Дебальцево;550397;Y;;;;;text;;;text;;;Восточная Украина;48.3333;38.4000;Донецкая область;;;
390;Дзержинск;550398;Y;;;;;text;;;text;;;Восточная Украина;48.3947;37.8444;Донецкая область;;;
391;Димитров;550399;Y;;;;;text;;;text;;;Восточная Украина;48.3058;37.2711;Донецкая область;;;
392;Доброполье;550400;Y;;;;;text;;;text;;;Восточная Украина;48.8000;37.1833;Донецкая область;;;
393;Докучаевск;550401;Y;;;;;text;;;text;;;Восточная Украина;47.7680;37.6837;Донецкая область;;;
394;Донецк;550402;Y;;;;;text;;;text;;;Восточная Украина;48.0028;37.8053;Донецкая область;;;
